,,"Name (click to view profile)","Profile ID",Date,Likes,"Live video timestamp",Comment,"Image URLs","Author Avatar","Comment Edited","Comment URL"
60,,"Netflix Family",100066900986005,"2024-11-20 16:15:12",0,-,"get ready to sing this anthem on repeat all day every day! SPELLBOUND arrives November 22, only on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
61,,"Netflix Family",100066900986005,"2024-11-20 20:32:08",0,-,"President Obama, who narrates Our Oceans, surprises a group of Girl Scouts at the Monterey Bay Aquarium. OUR OCEANS is now playing 🌊",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
62,,"Netflix Family",100066900986005,"2024-11-21 14:08:27",0,-,"explaining Spellbound in 15 seconds is how I explain every movie to my kid",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
63,,"Netflix Family",100066900986005,"2024-11-21 15:00:57",0,-,"The glove is about to come off. Wallace & Gromit: Vengeance Most Fowl coming to Netflix on January 3",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
64,,"Netflix Family",100066900986005,"2024-11-21 16:00:08",0,-,"SAY CHEESE! 🧀 Wallace & Gromit: Vengeance Most Fowl coming to Netflix on January 3.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
65,,"Netflix Family",100066900986005,"2024-11-21 17:00:32",0,-,"Ted Danson giving me parenting advice is all I needed to hear today. A Man on the Inside is now playing!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
66,,"Netflix Family",100066900986005,"2024-11-21 18:30:41",0,-,"Proof that sisters are the best AND the worst. 📺  Dee & Friends in Oz.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
67,,"Netflix Family",100066900986005,"2024-11-21 21:01:16",0,-,"step inside the recording booth with president Barack Obama. OUR OCEANS is now playing on Netflix!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
68,,"Netflix Family",100066900986005,"2024-11-21 22:01:08",0,-,"The Fallen Star has returned -- and his vengeance will bring eternal night. The epic saga of The Dragon Prince concludes on December 19th, only on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
69,,"Netflix Family",100066900986005,"2024-11-22 14:00:06",0,-,"✨ the time has come to get SPELLBOUND! ✨",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
70,,"Netflix Family",100066900986005,"2024-11-22 15:01:05",0,-,"Finding Nemo IRL - Our Planet narrated by Barack Obama is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
71,,"Netflix Family",100066900986005,"2024-11-22 16:00:42",0,-,"You want some movie musical magic? Spellbound is now playing on Netflix!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
